日期,成交额,涨家数,跌家数,涨停数,跌停数
20260707,2581148550000.0,0.0,0.0,2,0
20260707,2581148550000.0,0.0,0.0,2,0
20260707,2581148550000.0,0.0,0.0,2,0
20260708,2563516000000.0,0.0,0.0,5,7
20260708,2563516000000.0,0.0,0.0,5,7
20260709,2913721720000.0,0.0,0.0,13,0
